date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:33:56	44675/44675	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jul%202018%2015:02:37%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html?_ga=2.249711375.84011471.1531745026-971674721.1531745026	C:/My%20Web%20Sites/AdminLTE/demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard6cef.html	(from )
18:33:56	5251/5251	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2016%20Jul%202018%2013:03:56%20GMT	https://demos.creative-tim.com/robots.txt		(from )
18:33:57	2446/2446	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Jul%202018%2015:02:37%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/assets/img/apple-icon.png	C:/My%20Web%20Sites/AdminLTE/demos.creative-tim.com/bs3/material-dashboard-pro/assets/img/apple-icon.png	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html?_ga=2.249711375.84011471.1531745026-971674721.1531745026)
18:33:57	2761/2761	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Jul%202018%2015:02:37%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/assets/img/favicon.png	C:/My%20Web%20Sites/AdminLTE/demos.creative-tim.com/bs3/material-dashboard-pro/assets/img/favicon.png	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html?_ga=2.249711375.84011471.1531745026-971674721.1531745026)
18:34:00	122540/122540	---M-Z	200	added ('OK')	text/css	date:Fri,%2013%20Jul%202018%2015:02:37%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/AdminLTE/demos.creative-tim.com/bs3/material-dashboard-pro/assets/css/bootstrap.min.css	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html?_ga=2.249711375.84011471.1531745026-971674721.1531745026)
18:34:01	8397/8397	---M-Z	200	added ('OK')	text/css	date:Fri,%2013%20Jul%202018%2015:02:37%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/assets/css/demo.css	C:/My%20Web%20Sites/AdminLTE/demos.creative-tim.com/bs3/material-dashboard-pro/assets/css/demo.css	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html?_ga=2.249711375.84011471.1531745026-971674721.1531745026)
18:34:02	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221518903977%22	https://maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	C:/My%20Web%20Sites/AdminLTE/maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html?_ga=2.249711375.84011471.1531745026-971674721.1531745026)
18:34:02	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2016%20Jul%202018%2013:04:02%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/AdminLTE/www.googletagmanager.com/gtm.85445.delayed	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html?_ga=2.249711375.84011471.1531745026-971674721.1531745026)
18:34:03	321714/321714	---M-Z	200	added ('OK')	text/css	date:Fri,%2013%20Jul%202018%2015:02:37%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/assets/css/material-dashboard.css?v=1.3.0	C:/My%20Web%20Sites/AdminLTE/demos.creative-tim.com/bs3/material-dashboard-pro/assets/css/material-dashboard98f3.css	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html?_ga=2.249711375.84011471.1531745026-971674721.1531745026)
18:34:06	44675/44675	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jul%202018%2015:02:37%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html	C:/My%20Web%20Sites/AdminLTE/demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html?_ga=2.249711375.84011471.1531745026-971674721.1531745026)
18:34:09	18172/18172	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jul%202018%2015:02:37%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/pages/pricing.html	C:/My%20Web%20Sites/AdminLTE/demos.creative-tim.com/bs3/material-dashboard-pro/examples/pages/pricing.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html?_ga=2.249711375.84011471.1531745026-971674721.1531745026)
18:34:11	53652/53652	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jul%202018%2015:02:37%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/pages/rtl.html	C:/My%20Web%20Sites/AdminLTE/demos.creative-tim.com/bs3/material-dashboard-pro/examples/pages/rtl.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html?_ga=2.249711375.84011471.1531745026-971674721.1531745026)
18:34:13	35083/35083	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Jul%202018%2015:02:37%20GMT	https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/pages/timeline.html	C:/My%20Web%20Sites/AdminLTE/demos.creative-tim.com/bs3/material-dashboard-pro/examples/pages/timeline.html	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html?_ga=2.249711375.84011471.1531745026-971674721.1531745026)
18:34:14	171778/171778	---M--	200	added ('OK')	image/jpeg	etag:%2249c99bc1b2c088d94746d3b55081f2ec%22	http://s3.amazonaws.com/creativetim_bucket/products/51/opt_mdp_thumbnail.jpg	C:/My%20Web%20Sites/AdminLTE/s3.amazonaws.com/creativetim_bucket/products/51/opt_mdp_thumbnail.jpg	(from https://demos.creative-tim.com/bs3/material-dashboard-pro/examples/dashboard.html?_ga=2.249711375.84011471.1531745026-971674721.1531745026)
